"idstd","id","a4a","a6a","a2","a3b","a3c","a3","a13","a4b","a0","a3a","a6b","a14d","a14m","a14y","a14h","a14min","a12","a1","a1a","a7","a7a","a7b","a7c","a11","a9","b1","b1x","b3","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6a","b6b","b7","b7a","b8","b8x","c3","c4","c5","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c15","c16","c17","c22a","c22b","c30a","c30b","d1a1a","d1a1x","d1a2","d1a3","d2","d2x","n3","d3a","d3b","d3c","d4","d5a","d6","d7","d8","d10","d11","d12a","d12b","d13","d14","d15a","d30a","d30b","TRd1a","TRd1b","TRd1c","TRd1dx1","TRd2dx2","TRd2","TRd3","TRd4","TRd5a","TRd5b","TRd6","TRd7","TRd9a","TRd9b","TRd9c","TRd9d","TRd9e","TRd9f","TRd9g","TRd9h","TRd9i","TRd9j","TRd9l","TRd9m","TRd11","TRd13a","TRd13b","TRd13c","TRd13cx","TRd14","TRd15","TRd16","e1","e2b","e6","e11","e30","AFe31","AFe32","AFe33a","AFe33b","AFe33c","AFe33d","AFe33e","AFe33f","AFe33g","AFe33gx","AFe34","h1","h2","h3x","h4x","h5","h6x","h7x","h8","h9","f1","f2","g6a","g6b","g6c","g1a","g1b","g1c","g2","g3","g4","g5a","g5b","g5bx","g30a","i1","i2a","i2b","i3","i4a","i4b","i30","k1c","k2c","k3a","k3bc","k3e","k3f","k3hd","AFk3a","k4","n5a","n5b","k5a","k5a1","k5i","k5i1","k5bc","k5bc1","k5e","k5e1","k5f","k5f1","AFk5hdj_a1","AFk5hdj_a1_1","AFk5hdj_a2","AFk5hdj_a2_1","AFk5e2","k4b","n5c","n5d","k6","k7","k8","k9","mc1","k10","k11","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k16","k17","k20a1","k21","k30","MMs1","MMs1a","MMs2","MMs3","MMs4","MMs5","MMs6","MMs7","MMs8","MMs9","MMs10","MMs11a","MMs11b","MMs11c","MMs11d","MMs11e","MMs11f","mc2","mc3","mc4","mc4x","mc5","mc6","mc6x","h7a","j2","j3","j4","j5","j6a","j6","j7a","j7b","j10","j11","j12","j13","j14","j15","j30a","j30b","j30c","j30e","j30f","h30","l1","l2","l3a","l3b","l4a1","l4a2","l4b","l5a","l5b","l5","l6","l6a","l8","l9b","l10","l11a","l11a1","l11b","l11b1","AFl11a","AFl11b","AFl11c","AFl11d","AFl11e","AFl11f","AFl11g","AFl12","AFl13a","AFl13b","AFl13c","AFl13d","AFl13e","AFl13x","AFl14a1x","AFl14d1","AFl14a2x","AFl14d2","AFl14a3x","AFl14d3","l30a","l30b","m1a","n2a","n2e","n2b","n2i","n2p","n6a","n7a","a15a1ax","a15a2a","a15a3","a15a1bx","a15a2b","a15b3","a15a1cx","a15a2c","a15c3","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","stratificationregioncode","stratificationsizecode","stratificationsectorcode","stratificationpanelcode","wstrict","wmedian","wweak","strata"
613925,28,1,2,2,2,1,2,2000,15,1,2,1,1,5,2017,17,45,2022,32,1,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,1990,-9,-9,-9,10,2,2,"",2,NA,NA,1,-9,NA,NA,-9,NA,1,-9,2,NA,NA,2,NA,NA,2,2,2,0,1,"Manufacturing Of Bread",1541,100,1e+07,"Ten Million",-9,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,1,1,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,-9,2,2,1,-9,2,NA,NA,NA,NA,NA,NA,NA,"",0,2,NA,"","",2,"","",2,NA,-9,35,100,0,0,100,0,0,2,NA,NA,NA,NA,"",1,2,NA,NA,2,NA,NA,0,0,-9,100,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,-9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-9,2,-9,-9,-9,2,NA,NA,"",NA,-9,"",4,0,2,NA,NA,2,NA,NA,0,2,NA,NA,2,NA,NA,3,3,1,0,0,0,10,10,8,2,0,0,8,0,0,NA,0,NA,NA,-9,2,NA,NA,NA,NA,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,"","-9",NA,"-9",NA,"-9",NA,0,0,14,5000000,4500000,192000,NA,-9,-9,-9,"Director General",10,1,"",NA,NA,"",NA,NA,1,5,2017,18,29,2,2,1,NA,NA,2,4,1,1,1.98174691200256,2.02634477615356,2.15196752548218,27
613926,31,1,1,1,1,2,2,2000,18,1,1,1,5,4,2017,13,59,2015,32,1,2,NA,NA,NA,NA,NA,3,"",100,-9,-9,-9,-9,1,100,1995,2,1,1995,22,1,2,"",2,NA,NA,1,10,-9,-9,-9,NA,2,NA,2,NA,NA,2,NA,NA,2,2,3,3,1,"Manufacture Of Hand Sewn Clothing",1810,-9,-9,"",-9,-9,-9,-9,-7,2,-7,-7,-9,-9,-9,-9,-9,-9,NA,NA,-9,-9,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,-9,2,-9,2,1,2,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,"Previously, She Did Not Produce Jewellery, Decorative Objects Or Gifts Or Weave. Currently She Produces Them","It Is Entirely New. Its Is Creation For Selling",2,"","",2,NA,-9,40,0,100,0,0,100,0,2,NA,NA,NA,NA,"",1,2,NA,NA,2,NA,NA,1,-9,-9,-9,-9,-9,-9,-9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,-9,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,-9,-9,1,2,2,NA,NA,"",NA,1,"",4,-9,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,3,0,0,0,0,0,6,5,5,1,5,0,0,5,1,NA,0,NA,NA,0,2,NA,NA,NA,NA,1,1,1,0,0,0,0,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,0,0,8,-9,-9,-9,NA,-9,-9,-9,"Business Owner",22,2,"",NA,NA,"",NA,NA,5,4,2017,15,5,2,3,1,NA,NA,1,1,1,1,1,1,1.91663706302643,2
613927,33,2,1,1,1,1,2,2000,22,1,1,1,30,5,2017,9,16,2002,32,1,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,2005,13,1,2005,15,2,2,"",2,NA,NA,1,20,1,30,-9,NA,1,65,2,NA,NA,2,NA,NA,2,2,4,4,1,"Publishing, Book Printing",2221,100,5e+07,"Fifty Million",-9,100,0,0,NA,NA,NA,NA,NA,-7,NA,100,0,NA,NA,NA,1,0,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2,-4,2,-9,0,2,2,NA,NA,NA,NA,NA,NA,NA,"",0,2,NA,"","",2,"","",2,NA,-9,40,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,0,0,0,100,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,1,2,NA,NA,"",NA,3,"",-9,-9,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,0,0,0,0,1,-7,13,13,13,0,13,0,0,2,0,NA,0,NA,NA,-9,2,NA,NA,NA,NA,1,0,1,0,0,1,1,2,NA,NA,NA,NA,NA,"","-9",NA,"-9",NA,"-9",NA,0,1,8,25000000,7000000,3000000,NA,-9,-9,-9,"Production Manager",10,1,"",NA,NA,"",NA,NA,30,5,2017,9,50,2,2,1,NA,NA,1,1,2,1,1,1,1,4
613928,35,4,1,1,1,1,2,2000,72,3,1,1,11,6,2017,16,44,2009,32,1,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,2007,3,1,2007,20,2,2,"",2,NA,NA,1,-9,NA,NA,30,NA,1,100,2,NA,NA,NA,NA,NA,1,2,3,1,6,"Management Software Installation",7221,60,1375000,"One Million Three Hundred Seventy Five Thousand",-9,100,0,0,NA,NA,NA,NA,NA,-7,NA,-9,-9,2,NA,NA,0,-7,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,2,0,1,2,NA,NA,NA,NA,NA,NA,NA,"",0,2,NA,"","",2,"","",2,NA,NA,NA,0,100,0,0,100,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,0,0,0,60,0,0,40,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,NA,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,-9,2,2,2,NA,NA,"",NA,2,"",-7,0,1,2,2,2,NA,0,NA,2,NA,NA,2,NA,NA,2,2,-7,4,0,-7,5,3,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,-9,1,NA,NA,NA,NA,2,-7,1,1,1,2,1,2,NA,NA,NA,NA,NA,"","University Abdou Moumouni In Niamey",3,"-9",NA,"-9",NA,2,3,1,-9,NA,120000,NA,NA,NA,NA,"Director General",10,1,"",NA,NA,"",NA,NA,11,6,2017,17,53,1,4,1,NA,NA,1,1,4,1,5.8010425567627,7.61468315124512,13.661096572876,8
613929,37,2,1,1,1,2,2,2000,15,1,1,2,17,6,2017,17,20,2009,32,1,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,1,100,2006,6,1,2006,12,1,1,"Iso 9001 Version 2015",2,NA,NA,1,9,10,0,NA,70000000,1,24,2,NA,NA,2,NA,NA,1,1,4,3,1,"Milk",1541,100,702751752,"Seven Hundred Two Million Seven Hundred Fifty One Thousand Seven Hundred Fifty Two",-9,100,0,0,NA,NA,NA,NA,NA,2,10,35,65,1,5,2,3,2,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,15,2,1,4,1,1,2,1,2,2,2,2,2,"",1,1,1,"Improved Packaging, Customised Bottles","Completely New",2,"","",1,-9,10,40,100,0,0,100,0,0,1,60,1,NA,NA,"",3,1,NA,4920000,2,NA,NA,4,30,40,10,50,0,30,10,NA,1,150000000,-9,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,2,NA,NA,1,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,NA,NA,"",NA,1,"",-9,13,1,180,1,2,NA,NA,0,2,NA,NA,2,NA,NA,0,3,0,0,2,-7,86,-9,60,26,-9,-9,-9,40,5,NA,0,NA,NA,9,2,NA,NA,NA,NA,1,1,1,1,0,1,2,1,2,2,1,2,2,"","-9",NA,"-9",NA,"-9",NA,2,3,8,96000000,50000000,36000000,NA,63200000,20000000,20000000,"Chief Financial And Administrative Officer",6,1,"",NA,NA,"",NA,NA,17,6,2017,17,59,1,1,1,NA,NA,1,1,2,1,1,1,1.49774992465973,4
613930,38,2,1,1,1,2,2,2000,36,1,1,2,27,4,2017,21,3,2002,32,1,1,6,1,1,1,NA,3,"",100,0,100,0,0,2,NA,2000,60,1,1999,35,2,2,"",2,NA,NA,1,8,2,0,NA,600000,1,40,2,NA,NA,2,NA,NA,1,2,3,0,1,"Manufacture Of Foam And Mattresses.",3610,100,1.18e+09,"One Billion One Hundred Eighty Million",1.45e+09,100,0,0,NA,NA,NA,NA,NA,-7,NA,0,100,1,21,2,0,0,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,6,2,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,"Compacted Mattresses Which The Company Did Not Do Before","Completely New",1,"The Company Now Uses New Inputs, Which Have Improved The Quality Of The Product In Terms Of Hardness","Completely New",1,-9,100,40,0,100,0,0,100,0,2,NA,NA,NA,NA,"",-9,1,NA,3000000,2,NA,NA,3,0,0,100,0,0,0,0,NA,1,-9,-9,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,2,-9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,NA,NA,"",NA,3,"",-9,4,1,4,2,2,NA,NA,0,2,NA,NA,2,NA,NA,0,0,-9,0,0,-9,60,60,15,45,-9,-9,-9,0,-9,NA,0,NA,NA,10,1,NA,4,NA,0,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,"","University Abdou Moumouni In Niamey",3,"Paris University",3,"-9",NA,0,3,8,135000000,85000000,3000000,NA,988000000,-9,-9,"Operation Director",17,1,"",NA,NA,"",NA,NA,27,4,2017,21,41,1,1,1,NA,NA,1,1,2,1,1,1,1,4
613931,39,4,1,1,1,1,2,2000,55,3,1,1,4,5,2017,17,55,2009,32,1,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,1,100,1985,-9,1,1985,7,2,2,"",2,NA,NA,1,20,5,30,3,NA,2,NA,2,NA,NA,NA,NA,NA,2,2,4,3,5,"Accommodation Of Guests",5510,65,5e+07,"Fifty Million",4.5e+07,100,0,0,NA,NA,NA,NA,NA,-7,NA,100,0,NA,NA,NA,4,2,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,"",0,2,NA,"","",2,"","",2,NA,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",2,1,1,NA,2,NA,NA,4,0,25,100,0,0,0,0,NA,1,6000000,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,1,1000000,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,2,1,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-9,2,-9,-9,2,2,NA,NA,"",NA,1,"",1,2,1,1,2,2,NA,2,NA,2,NA,NA,2,NA,NA,2,4,4,4,4,2,17,14,NA,NA,NA,NA,NA,NA,NA,2,3,0,6,1,2,NA,NA,NA,NA,1,-7,0,1,1,1,1,2,NA,NA,NA,NA,NA,"","University Abdou Moumouni In Niamey",4,"-9",NA,"-9",NA,4,4,1,10000000,NA,6000000,NA,NA,NA,NA,"Hotel Technician",21,1,"Accountant",1,1,"",NA,NA,4,5,2017,18,46,2,2,2,1,10,1,1,4,1,5.8010425567627,7.61468315124512,13.661096572876,8
613932,43,2,3,1,1,1,2,2000,51,3,1,3,12,5,2017,21,36,2007,32,1,2,NA,NA,NA,NA,NA,2,"",-9,-9,-9,-9,-9,2,NA,1955,-9,1,1955,10,2,-9,"",2,NA,NA,1,35,1,30,NA,10000000,1,100,2,NA,NA,NA,NA,NA,1,1,4,0,3,"Caterpillar Machines",5159,-9,8000000005,"Eight Billion Five",10000000585,100,0,0,NA,NA,NA,NA,NA,-7,NA,0,100,1,60,NA,2,2,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,4,1,1,1,2,2,2,2,2,2,"",0,1,2,"The Main Improved Product That Has Been Introduced Is The Range Of Compact Power Generators","Previously The Company Sold The (Brand) Range Power Generators, But Has Now Improved This With The Compact Range",1,"After A Service Is Proposed, A Contact Is Attributed Either To The Power Generators Or To The Caterpillar Machines. This New Product Makes It Possible To Automatically See The Level Of Fuel.","Previously, To See The Level Of Gasoil Surveyors Were Called Upon",1,-9,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",3,1,5,NA,1,-9,NA,2,-9,-9,-9,-9,-9,-9,-9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-9,-9,1,1,1,1,NA,-9,-9,-9,NA,NA,NA,NA,NA,NA,-9,NA,1,1,NA,-6,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,NA,NA,"",NA,3,"",2,40,1,10,2,1,0,0,NA,1,7,2,2,NA,NA,2,2,0,3,0,0,148,-9,NA,NA,NA,NA,NA,NA,NA,10,3,0,-9,50,2,NA,NA,NA,NA,2,2,2,1,1,2,2,1,1,1,1,2,2,"","-7",NA,"-7",NA,"-7",NA,2,-7,11,232000000,NA,-9,NA,NA,NA,NA,"Technical Sales Person",9,1,"",NA,NA,"",NA,NA,12,5,2017,22,48,1,1,1,NA,NA,1,4,2,1,1,1.06201684474945,1.77884864807129,18
613933,44,3,1,1,1,2,2,2000,17,1,1,1,5,4,2017,15,30,2018,32,1,2,NA,NA,NA,NA,NA,1,"",99,99,1,0,0,2,NA,1997,4,1,1997,30,2,1,"Iso 20001",2,NA,NA,1,9,0,20,-9,NA,1,10,2,NA,NA,2,NA,NA,1,2,1,1,1,"Manufacture Of Textiles",1729,100,1.3e+09,"One Billion Three Hundred Million",1.109e+09,3,97,0,NA,NA,NA,NA,1997,0,0,-9,-9,-9,NA,NA,0,3,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,"India",20,3,1,3,NA,2,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,"",0,1,1,"Making Of Outfits In Basins","Import Of Basins, Which The Company Did Not Do Previously",2,"","",2,NA,-9,40,100,0,0,0,100,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,1,0,95,100,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,995000,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,-9,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-9,1,1,-9,1,2,NA,NA,"",NA,3,"",1,95,1,1,2,2,NA,NA,0,2,NA,NA,2,NA,NA,1,1,1,3,1,1,8,8,-9,-9,-9,-9,-9,4,-9,NA,0,NA,NA,2,2,NA,NA,NA,NA,0,0,0,0,0,1,1,2,NA,NA,NA,NA,NA,"","Lome University",3,"-9",NA,"-9",NA,0,0,-9,83185000,-9,3135000,NA,-9,-9,6180000,"Chief Financial Officer",6,1,"",NA,NA,"",NA,NA,5,4,2017,17,10,1,1,1,NA,NA,1,1,3,1,1.66440081596375,2.030837059021,3.60691356658936,6
613934,49,4,1,1,1,1,2,2000,55,3,1,2,11,5,2017,21,0,2009,32,1,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,1,100,2004,5,1,2004,13,1,2,"",2,NA,NA,1,35,0,45,NA,50000000,1,100,2,NA,NA,NA,NA,NA,1,1,4,3,5,"Accommodation Of Guests",5510,70,2.68e+08,"Two Hundred Sixty Eight Million",2.24e+08,100,0,0,NA,NA,NA,NA,NA,-7,NA,100,0,NA,NA,NA,0,0,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,1,2,2,2,2,"",-7,2,NA,"","",2,"","",2,NA,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,NA,10000000,2,NA,NA,4,0,80,100,0,0,0,0,NA,1,5000000,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,1,5000000,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-9,2,-9,-9,2,1,1,3,"",2,NA,"",3,7,1,1,2,2,NA,0,NA,2,NA,NA,2,NA,NA,1,1,-7,4,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,4,6,1,3,3,2,NA,NA,NA,NA,2,-7,-7,1,1,2,1,1,2,1,2,1,2,"","University Abdou Moumouni In Niamey",3,"-9",NA,"-9",NA,0,-7,12,31228180,NA,24082979,NA,NA,NA,NA,"Accountant",11,2,"Executive Secretary",13,2,"",NA,NA,11,5,2017,21,58,1,1,2,1,0,1,1,4,1,5.8010425567627,7.61468315124512,13.661096572876,8
613935,52,4,1,1,1,2,2,2000,51,3,1,1,11,4,2017,12,17,2009,32,1,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,1994,3,1,1994,30,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,1,2,0,3,3,"Sale Of Cereals",5122,60,-9,"",-9,100,0,0,NA,NA,NA,NA,NA,10,0,20,80,1,7,NA,3,4,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,4,2,2,NA,NA,NA,NA,NA,NA,NA,"",0,1,2,"Previously Sold Cola. Now We Sell Cereals As Well","Completely New",2,"","",2,NA,NA,NA,0,100,0,0,100,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,2,100,35,20,0,0,80,0,NA,1,0,55000000,NA,2000000,NA,0,NA,0,NA,0,NA,52000000,NA,1000000,NA,0,NA,2,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,NA,NA,"",NA,5,"",1,80,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,1,0,0,3,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,0,7,0,3,0,2,NA,NA,NA,NA,1,1,0,0,0,0,0,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,0,-7,1,1800000,NA,1800000,NA,NA,NA,NA,"General Manager",23,1,"",NA,NA,"",NA,NA,11,4,2017,13,27,1,2,1,NA,NA,1,1,4,1,5.8010425567627,7.61468315124512,13.661096572876,8
613936,54,4,2,2,2,1,2,2000,55,3,2,2,22,4,2017,12,6,2021,32,1,1,3,1,1,1,NA,4,"",75,100,0,0,0,1,25,1980,5,2,2012,12,2,2,"",1,60,2,1,-9,NA,NA,20,NA,1,15,2,NA,NA,NA,NA,NA,2,2,1,1,5,"Accommodation",5510,75,21900000,"Twenty One Million Nine Hundred Thousand",2.6e+07,100,0,0,NA,NA,NA,NA,NA,-9,-9,100,0,NA,NA,NA,0,0,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,"",1,2,NA,"","",2,"","",2,NA,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,5,NA,2,NA,NA,0,20,12,75,0,0,0,25,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2000000,700000,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,1,2,1,-9,1,2,NA,1,-9,1,12,1,6,NA,NA,NA,NA,NA,NA,2,NA,NA,"",NA,1,"",3,-9,1,2,2,2,NA,-8,NA,2,NA,NA,2,NA,NA,0,0,0,0,1,0,25,18,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2,2,NA,NA,NA,NA,1,1,1,1,0,0,1,2,NA,NA,NA,NA,NA,"","University Dan Dicko Dankoulodo Of Maradi",3,"-9",NA,"-9",NA,0,0,1,3000000,NA,1750000,NA,NA,NA,NA,"Manager",12,1,"Head Accountant",1,1,"Head Of Human Resources",1,1,22,4,2017,14,38,2,2,2,2,30,2,4,4,1,1,1,1,29
613937,55,4,1,1,1,2,2,2000,22,1,1,2,6,4,2017,10,1,2009,32,1,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,2000,4,1,2000,35,2,2,"",2,NA,NA,1,250,2,0,-9,NA,1,60,2,NA,NA,2,NA,NA,1,2,3,1,1,"Sale Of Identity Cards For Students And Professionals",2222,100,1.55e+08,"One Hundred Fifty Five Million",-9,100,0,0,NA,NA,NA,NA,NA,0,50,100,0,NA,NA,NA,0,0,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2,-9,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,"",1,1,2,"Previously, Cards Were On Bristol Paper, And Now Cards Are On Pvc","Bristol Paper Cards Replaced By Pvc Cards",1,"Interventions In Niamey And Now In All Regions. Information Is Gathered And Whatsapp Is Used","Paper Cards Have Been Replaced By Digital Cards",1,-9,15,40,0,100,0,0,100,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,1,0,15,100,0,0,0,0,NA,1,20000000,0,NA,10000000,NA,0,NA,0,NA,0,NA,0,NA,10000000,NA,0,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,2,NA,NA,"",NA,1,"",3,-9,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,0,1,0,0,0,0,25,15,3,22,3,0,0,0,0,NA,10,2,3,100,2,NA,NA,NA,NA,1,1,1,1,0,1,1,2,NA,NA,NA,NA,NA,"","University Abdou Moumouni In Niamey",3,"African Institute Of Technology",3,"Islamic University Of Say",3,0,0,1,-9,5000000,1035000,NA,-9,250000000,500000000,"General Manager",2,1,"",NA,NA,"",NA,NA,6,4,2017,12,30,1,2,1,NA,NA,1,1,4,1,1,1.17487037181854,1.72617852687836,8
