Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Israel,ISR,27400,23500,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Italy,ITA,1429756,1643613,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Japan,JPN,2142210,2027674,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Jordan,JOR,6100,5732,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Kazakhstan,KAZ,..,52084,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Kenya,KEN,10000,12200,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,"Korea, Rep.",KOR,41203,191631,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Kuwait,KWT,88,89,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Kyrgyz Republic,KGZ,..,25512,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Latvia,LVA,..,55815,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Lebanon,LBN,3200,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Lesotho,LSO,1830,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Libya,LBY,33272,39733,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Liechtenstein,LIE,446,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Lithuania,LTU,..,102000,117580,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Luxembourg,LUX,..,7165,6446,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,"Macedonia, FYR",MKD,..,54000,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Madagascar,MDG,1334,774,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Malaysia,MYS,26000,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Mali,MLI,2100,1885,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Malta,MLT,448,972,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Mauritania,MRT,335,380,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Mexico,MEX,300000,273166,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Moldova,MDA,..,41854,35984,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Mongolia,MNG,11000,4700,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Morocco,MAR,39155,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Myanmar,MMR,13000,10606,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Nepal,NPL,5000,26300,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Netherlands,NLD,182228,148500,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,New Caledonia,NCL,1330,1865,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Nicaragua,NIC,2600,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Niger,NER,170,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Nigeria,NGA,13900,19400,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Northern Mariana Islands,MNP,..,51,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Norway,NOR,153000,134064,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Oman,OMN,144,180,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Pakistan,PAK,265728,326595,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Panama,PAN,5090,8066,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Papua New Guinea,PNG,1140,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Paraguay,PRY,15100,21135,25823,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Peru,PER,12700,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Philippines,PHL,35750,58800,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Poland,POL,1185000,1306700,1566340,1577290,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Portugal,PRT,132000,169810,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Puerto Rico,PRI,2850,2992,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Qatar,QAT,84,82,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Romania,ROU,132882,160053,174790,176841,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Russian Federation,RUS,..,747000,364356,329980,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Rwanda,RWA,90,60,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Samoa,WSM,76,84,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Saudi Arabia,SAU,6500,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Senegal,SEN,490,609,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Serbia,SRB,..,..,5844,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Sierra Leone,SLE,200,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Slovak Republic,SVK,..,23479,21372,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Slovenia,SVN,..,114188,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Solomon Islands,SLB,8,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Somalia,SOM,1630,1000,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,South Africa,ZAF,145000,72300,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Spain,ESP,740830,899700,1030440,1038726,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Sri Lanka,LKA,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,St. Kitts and Nevis,KNA,105,145,22,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,St. Lucia,LCA,120,135,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,St. Vincent and the Grenadines,VCT,89,104,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Sudan,SDN,9182,11856,25564,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Suriname,SUR,1107,918,1013,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Swaziland,SWZ,4120,3913,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Sweden,SWE,171000,165000,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Switzerland,CHE,114386,109600,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Syrian Arab Republic,SYR,62557,97660,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Tajikistan,TJK,..,24319,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Tanzania,TZA,7365,16300,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Thailand,THA,57739,439139,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Timor-Leste,TLS,93,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Togo,TGO,100,80,129,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Tonga,TON,130,120,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Trinidad and Tobago,TTO,4460,4950,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Tunisia,TUN,23982,32700,40438,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Turkey,TUR,689650,941835,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Tuvalu,TUV,1,1,1,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Uganda,UGA,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Ukraine,UKR,..,318900,335473,333529,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,United Arab Emirates,ARE,180,380,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,United States,USA,4426699,4503625,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Uruguay,URY,32804,36465,36465,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Uzbekistan,UZB,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Vietnam,VNM,25086,162746,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Virgin Islands (U.S.),VIR,82,98,..,..,..,..,..,..,..,..,..,..
